logo_filename,awardee_name,location,award_type,award_title,award_summary,doe_funding,nondoe_costshare,total_value,round_awarded,status,abstract_filename,Latitude,Longitude,
NuScale Power_New.png,"NuScale Power, LLC","Corvallis, OR",Tier I: First of a Kind Nuclear Demonstration Readiness Project,NuScale Small Modular Reactor First-Of-A-Kind Nuclear Demonstration Readiness Project (Phase 2 - Calendar Year 2018 Activities),NuScale Power will build on Phase 1 project activities to advance the licensing and design maturity to meet a commercial operation date of 2026 for the first NuScale plant. The specific project scope being funded represents calendar year 2018 activities associated with the next phase (Phase 2) of the U.S. product realization effort required to bring the NuScale design to market. Specific project activities include completion of the independent verification and validation licensing report; completion of the reactor building design optimization; and conduct of level sensor prototypic testing. There is potential for extension of this award to complete calendar year 2019 activities associated with Phase II of the NuScale project if the 2018 activities are completed successfully.,"$7,000,000 ","$7,100,000 ","$14,100,000 ",2018 - Round 2,Completed,https://www.energy.gov/sites/prod/files/2018/06/f53/NuScale_IND%20FOA%20FY2018%20Summary-Abstract%20FKD-18-16092.pdf,44.639931,-123.275969,
Columbia Basin Consulting Group_Larger.png,"Columbia Basin Consulting Group, LLC","Kennewick, WA",Tier II: Advanced Reactor Development Project,Conceptual Engineering for a Small Modular Reactor (SMR) power plant based on Lead-Bismuth Fast Reactor (LBFR) Technology,Aims to develop a pre-conceptual design and preliminary cost estimate for a Lead-Bismuth Small Modular Reactor.,"$400,000 ","$100,000 ","$500,000 ",2018 - Round 2,Active,https://www.energy.gov/sites/prod/files/2018/07/f53/Columbia%20Basin_IND%20FOA%20FY20_Summary-Abstract%20ARD-18-15835.pdf,46.212306,-119.155671,
GE Hitachi_Larger.jpg,"GE-Hitachi Nuclear Energy Americas, LLC","Wilmington, NC",Tier II: Advanced Reactor Development Project,Reactor Plant Cost Reduction to Compete with Natural Gas Fired Electrical Generation,"Examines ways to reduce reactor plant construction and maintenance costs through (a) elimination of Loss of Coolant Accidents (LOCAs), (b) the use of an embedded (below grade) design and construction and (c) the use of pooled off-site resources that can be applied simultaneously at multiple sites.","$1,925,038 ","$481,260 ","$2,406,298 ",2018 - Round 2,Cancelled,https://www.energy.gov/sites/prod/files/2018/07/f53/GE-Hitachi_IND%20FOA%20FY2018%20Summary-Abstract%20ARD-18-15948.pdf,34.271985,-77.963628,
Electric Power Research Institute_Larger.jpg,"Electric Power Research Institute, Inc","Palo Alto, CA",Tier II: Advanced Reactor Development Project,"Experimental Verification of Post-Accident Integrated Pressurized Water Reactor (iPWR) Aerosol Behavior, Phase 3",Further improves the models used to estimate the post-accident radionuclide concentration levels for integrated pressurized water reactors.,"$1,119,699 ","$279,923 ","$1,399,622 ",2018 - Round 2,Active,https://www.energy.gov/sites/prod/files/2018/07/f53/EPRI_IND%20FOA%20FY2018%20Summary%20Abstract%20ARD-18-16086.pdf,37.444122,-122.149915,
Flibe Energy_Larger.png,"Flibe Energy, Inc","Madison, AL",Tier II: Advanced Reactor Development Project,Fluorination of Lithium Fluoride-Beryllium Fluoride (FLiBe) Molten Salt Processing,"Builds on Pacific Northwest National Laboratory's research to examine nitrogen trifluoride as an agent to remove uranium from a molten-salt fuel mixture prior to reductive extraction of fission products, as well as, extends this work to the fluorination of lithium fluoride-beryllium fluoride (FliBe) salt mixtures containing uranium tetrafluoride.","$2,101,982 ","$525,500 ","$2,627,482 ",2018 - Round 2,Active,https://www.energy.gov/sites/prod/files/2018/07/f53/Flibe_IND%20FOA%20FY2018%20Summary-Abstract%20ARD-18-16099.pdf,34.643795,-86.818118,
Holtec International_Larger.png,Holtec International ,"Camden, NJ",Tier II: Advanced Reactor Development Project,"Advancing and Commercializing Hybrid Laser Arc Welding (HLAW) for Nuclear Vessel Fabrication, Including Small Modular Reactors",Advances Hybrid Laser Arc Welding for use in fabrication of Small Modular Reactors and dry storage canisters for spent nuclear fuel.,"$6,314,612 ","$6,314,612 ","$12,629,224 ",2018 - Round 2,Active,https://www.energy.gov/sites/prod/files/2018/07/f53/Holtec_IND%20FOA%20FY2018%20Summary-Abstract%20ARD-18-16101.pdf,39.80237,-74.938259,
Pittsburgh Technical.png,"Pittsburgh Technical, LLC","Pittsburgh, PA",Tier III: Regulatory Assistance Grant,Regulatory Support for Advanced Light Water Reactor Deployment: Advanced Boiling Water Reactor Source Term Reduction,Develops a technical basis to potentially reduce source terms associated with Level II and Level III probabilistic risk assessments for advanced boiling water reactors.,"$498,000 ","$124,500 ","$622,500 ",2018 - Round 2,Active,https://www.energy.gov/sites/prod/files/2018/07/f53/Pit%20Tech_IND%20FOA%20FY20__%20Summary-Abstract%20REG-18-16110.pdf,40.47441,-79.950968,
NuScale Power_New.png,"NuScale Power, LLC","Corvallis, OR",Tier I: First of a Kind Nuclear Demonstration Readiness Project,NuScale Small Modular Reactor First-Of-A-Kind Nuclear Demonstration Readiness Project (Phase 1) ,Initiates the first phase of a U.S. product realization effort required to bring the NuScale design to market.,"$40,000,000 ","$40,000,000 ","$80,000,000 ",2018 - Round 1,Completed,https://www.energy.gov/sites/prod/files/2018/07/f53/NuScale_IND%20FOA%20FY2018%20Summary-Abstract%20FKD-18-14837.pdf,44.639931,-123.275969,
Xenergy_larger.png,"X Energy, LLC","Greenbelt, MD",Tier I: First of a Kind Nuclear Demonstration Readiness Project,"Design and License Application Development for TRISO-X: A Cross-Cutting, High Assay Low Enriched Uranium Fuel Fabrication Facility","Development of a High Assay Low Enriched Uranium fuel fabrication facility enabling mid-2020s deployment of all advanced reactor designs while increasing the competitiveness of the U.S. nuclear industry. This effort includes fuel requirements feasibility studies, facility preliminary and final design, and license application development and submittal - culminating in NRC acceptance and docketing.","$4,494,444 ","$4,494,444 ","$8,988,888 ",2018 - Round 1,Active,https://www.energy.gov/sites/prod/files/2018/07/f53/Xenergy_IND%20FOA%20FY2018%20Summary-Abstract%20FKD-18-14946.pdf,38.833563,-76.877743,
General Atomics_Larger.jpg,General Atomics,"San Diego, CA",Tier II: Advanced Reactor Development Project,Combining Multi-Scale Modeling with Microcapsule Irradiation to Expedite Advanced Fuels Deployment ,Develops a fission-product release and swelling model for uranium carbide (UC) based on modeling and irradiation tests in the High Flux Isotope Reactor to assess the accuracy of the analytical models and shows how advances in multi-scale modeling can alleviate the burden of extensive irradiation experiments and reduce the cost of advanced reactor development.,"$2,210,995 ","$552,749 ","$2,763,744 ",2018 - Round 1,Active,https://www.energy.gov/sites/prod/files/2018/07/f53/General%20Atomics_IND%20FOA%20FY2018%20Summary-Abstract%20ARD-18-15066.pdf,32.724103,-117.170912,
NuVision Engineering_Larger.jpg,"NuVision Engineering, Inc","Pittsburgh, PA",Tier II: Advanced Reactor Development Project,Dynamic Natural Convection - Passive Cooling For The Light Water Reactor Fleet,"Develops an engineered solution to redirect and use the energy of the decay heat to passively cool the reactor core, thus eliminating the need for power from off-site grids and on-site redundant power supplies and safety systems.","$2,999,657 ","$749,914 ","$3,749,571 ",2018 - Round 1,Active,https://www.energy.gov/sites/prod/files/2018/07/f53/NuVision_IND%20FOA%20FY2018_Summary-Abstract%20ARD-18-15120.pdf,40.47441,-79.950968,
BWXT Nuclear Energy_Larger.jpg,"BWXT Nuclear Energy, Inc","Lynchburg, VA",Tier II: Advanced Reactor Development Project,Establishment of an integrated advanced manufacturing and data science driven paradigm for advanced reactor systems,Develops the ability to implement Additive Materials Manufacturing (AMM) to the fabrication process for nuclear components and sub-components that will yield acceptable material structure and strength that can be accepted by American Society for Testing and Materials (ASTM) and incorporated into the American Society of Mechanical Engineers (ASME) Boiler and Pressure Vessel Code (BPVC) for review and acceptance by the US Nuclear Regulatory Commission.,"$5,400,000 ","$4,415,000 ","$9,815,000 ",2018 - Round 1,Active,https://www.energy.gov/sites/prod/files/2018/07/f53/BWXT_IND%20FOA%20FY2019%20Summary-Abstract%20ARD-18-15741.pdf,37.359607,-79.141653,
Elysium Industries.jpg,Elysium Industries USA,"Clifton, Park, NY",Tier II: Advanced Reactor Development Project,Modeling and Optimization of Flow and Heat Transfer in Reactor Components for Molten Chloride Salt Fast Reactor Application,Evaluates and optimizes the thermal-fluid performance of reactor components using computational fluid dynamics (CFD) methods.,"$2,560,000 ","$640,000 ","$3,200,000 ",2018 - Round 1,Cancelled,https://www.energy.gov/sites/prod/files/2018/07/f53/Elysium_IND%20FOA%20FY2018%20Summary-Abstract%20ARD-18-15808.pdf,42.850576,-73.792524,
